item_no,condition,advTYPE,context_sentence,region1_text,region2_text,region3_text,region4_text,full_sentence,critical_token,source
206,FR_Word_order,manner,The artist was communicating with a friend.,The artist,exchanged knowingly,a secret glance,across the room.,The artist exchanged knowingly a secret glance across the room.,knowingly,generated
207,EN_Word_order,manner,Jessica was in shock after hearing the news.,Jessica,blankly watched,the television screen,for several minutes.,Jessica blankly watched the television screen for several minutes.,blankly,generated
207,FR_Word_order,manner,Jessica was in shock after hearing the news.,Jessica,watched blankly,the television screen,for several minutes.,Jessica watched blankly the television screen for several minutes.,blankly,generated
208,EN_Word_order,manner,The programmer had to make a risky decision.,The programmer,boldly deleted,the obsolete code,from the system.,The programmer boldly deleted the obsolete code from the system.,boldly,generated
208,FR_Word_order,manner,The programmer had to make a risky decision.,The programmer,deleted boldly,the obsolete code,from the system.,The programmer deleted boldly the obsolete code from the system.,boldly,generated
209,EN_Word_order,manner,Daniel was trying to see in the dark room.,Daniel,dimly perceived,a shadowy figure,by the window.,Daniel dimly perceived a shadowy figure by the window.,dimly,generated
209,FR_Word_order,manner,Daniel was trying to see in the dark room.,Daniel,perceived dimly,a shadowy figure,by the window.,Daniel perceived dimly a shadowy figure by the window.,dimly,generated
210,EN_Word_order,manner,The girl was listening from the next room.,The young girl,faintly heard,her parents' voices,through the wall.,The young girl faintly heard her parents' voices through the wall.,faintly,generated
210,FR_Word_order,manner,The girl was listening from the next room.,The young girl,heard faintly,her parents' voices,through the wall.,The young girl heard faintly her parents' voices through the wall.,faintly,generated
211,EN_Word_order,manner,Sarah received some disappointing results.,Sarah,grimly accepted,the final verdict,from the judges.,Sarah grimly accepted the final verdict from the judges.,grimly,generated
211,FR_Word_order,manner,Sarah received some disappointing results.,Sarah,accepted grimly,the final verdict,from the judges.,Sarah accepted grimly the final verdict from the judges.,grimly,generated
212,EN_Word_order,manner,The gardener was preparing the soil for planting.,The gardener,heavily watered,the dry flowerbeds,with a large hose.,The gardener heavily watered the dry flowerbeds with a large hose.,heavily,generated
212,FR_Word_order,manner,The gardener was preparing the soil for planting.,The gardener,watered heavily,the dry flowerbeds,with a large hose.,The gardener watered heavily the dry flowerbeds with a large hose.,heavily,generated
