item_no,condition,advTYPE,region1_text,region2_text,region3_text,region4_text,context_sentence,full_sentence,critical_token,source
206,FR_Word_order,manner,The artist,exchanged knowingly,a secret glance,across the room.,The artist was communicating with a friend.,The artist exchanged knowingly a secret glance across the room.,knowingly,generated
207,EN_Word_order,manner,Jessica,blankly watched,the television screen,for several minutes.,Jessica was in shock after hearing the news.,Jessica blankly watched the television screen for several minutes.,blankly,generated
207,FR_Word_order,manner,Jessica,watched blankly,the television screen,for several minutes.,Jessica was in shock after hearing the news.,Jessica watched blankly the television screen for several minutes.,blankly,generated
208,EN_Word_order,manner,The programmer,boldly deleted,the obsolete code,from the system.,The programmer had to make a risky decision.,The programmer boldly deleted the obsolete code from the system.,boldly,generated
208,FR_Word_order,manner,The programmer,deleted boldly,the obsolete code,from the system.,The programmer had to make a risky decision.,The programmer deleted boldly the obsolete code from the system.,boldly,generated
209,EN_Word_order,manner,Daniel,dimly perceived,a shadowy figure,by the window.,Daniel was trying to see in the dark room.,Daniel dimly perceived a shadowy figure by the window.,dimly,generated
209,FR_Word_order,manner,Daniel,perceived dimly,a shadowy figure,by the window.,Daniel was trying to see in the dark room.,Daniel perceived dimly a shadowy figure by the window.,dimly,generated
210,EN_Word_order,manner,The young girl,faintly heard,her parents' voices,through the wall.,The girl was listening from the next room.,The young girl faintly heard her parents' voices through the wall.,faintly,generated
210,FR_Word_order,manner,The young girl,heard faintly,her parents' voices,through the wall.,The girl was listening from the next room.,The young girl heard faintly her parents' voices through the wall.,faintly,generated
211,EN_Word_order,manner,Sarah,grimly accepted,the final verdict,from the judges.,Sarah received some disappointing results.,Sarah grimly accepted the final verdict from the judges.,grimly,generated
211,FR_Word_order,manner,Sarah,accepted grimly,the final verdict,from the judges.,Sarah received some disappointing results.,Sarah accepted grimly the final verdict from the judges.,grimly,generated
212,EN_Word_order,manner,The gardener,heavily watered,the dry flowerbeds,with a large hose.,The gardener was preparing the soil for planting.,The gardener heavily watered the dry flowerbeds with a large hose.,heavily,generated
212,FR_Word_order,manner,The gardener,watered heavily,the dry flowerbeds,with a large hose.,The gardener was preparing the soil for planting.,The gardener watered heavily the dry flowerbeds with a large hose.,heavily,generated
SVadvP_01,FR_Word_order,frequency,John, watches often, television, at home.,Everybody has a hobby.,John watches often television at home.,often,maze_task
SVadvP_02,FR_Word_order,frequency,Mary, cleans always, her backpack, after school.,It is funny to talk about someone's habits.,Mary cleans always her backpack after school.,always,maze_task
SVadvP_03,FR_Word_order,frequency,Tom, bought sometimes, flower seeds, before dinner.,Some people just like to do gardening themselves.,Tom bought sometimes flower seeds before dinner.,sometimes,maze_task
SVadvP_04,FR_Word_order,frequency,Jimmy, sells usually, blue berries, in the garage.,Garage sales are interesting.,Jimmy sells usually blue berries in the garage.,usually,maze_task
SVadvP_05,FR_Word_order,frequency,Kevin, reads often, a storybook, on the plane.,It is boring to spend several hours on a flight.,Kevin reads often a storybook on the plane.,often,maze_task
SVadvP_06,FR_Word_order,frequency,The boy, catches always, big fish, in that river.,There is a river nearby their house.,The boy catches always big fish in that river.,always,maze_task
SVadvP_07,FR_Word_order,frequency,That girl, heard sometimes, loud music, during sleeping.,It is a big house with six bedrooms.,That girl heard sometimes loud music during sleeping.,sometimes,maze_task
SVadvP_08,FR_Word_order,frequency,The dog, catches usually, a frisbee, in the yard.,Nobody knows how big their yard is.,The dog catches usually a frisbee in the yard.,usually,maze_task
SVadvP_09,FR_Word_order,frequency,Lisa, changed suddenly, her path, after hanging up the phone.,There was a storm coming.,Lisa changed suddenly her path after hanging up the phone.,suddenly,maze_task
SVadvP_10,FR_Word_order,frequency,Linda, cooks always, sweet food, for the holidays.,Many people like to cook at home.,Linda cooks always sweet food for the holidays.,always,maze_task
SVadvP_11,FR_Word_order,frequency,The man, transferred sometimes, some money, with a mobile phone.,There are many ways to pay a bill.,The man transferred sometimes some money with a mobile phone.,sometimes,maze_task
SVadvP_12,FR_Word_order,frequency,The girl, drops usually, three coins, for the beggar.,There is always a beggar sitting beside the gate.,The girl drops usually three coins for the beggar.,usually,maze_task
SVadvP_13,FR_Word_order,frequency,That driver, drinks often, some wine, after coming home.,It is exhausting to drive for a whole day.,That driver drinks often some wine after coming home.,often,maze_task
SVadvP_14,FR_Word_order,frequency,The students, submit always, their essays, before deadlines.,There is no difficult assignment for this online course.,The students submit always their essays before deadlines.,always,maze_task
SVadvP_15,FR_Word_order,frequency,The woman, bought sometimes, a sandwich, for lunch.,That store sells great sandwiches.,The woman bought sometimes a sandwich for lunch.,sometimes,maze_task
SVadvP_16,FR_Word_order,frequency,John, saves usually, ten dollars, every day.,Some people like to save money for the future.,John saves usually ten dollars every day.,usually,maze_task
SVadvP_17,FR_Word_order,manner,That lady, washed quickly, her clothes, with her own hands.,There was a power outage going on.,That lady washed quickly her clothes with her own hands.,quickly,maze_task
SVadvP_18,FR_Word_order,manner,Winston, moved slowly, his feet, after seeing the wolf.,It's not easy to run away from a wild animal.,Winston moved slowly his feet after seeing the wolf.,slowly,maze_task
SVadvP_19,FR_Word_order,manner,The man, checked quietly, the door, before he closed it.,Everybody was sleeping.,The man checked quietly the door before he closed it.,quietly,maze_task
SVadvP_20,FR_Word_order,manner,Tracy, shot carefully, the last ball, before the game ended.,This is a fantastic basketball game.,Tracy shot carefully the last ball before the game ended.,carefully,maze_task
SVadvP_21,FR_Word_order,manner,The man, discovered suddenly, a cloak, in the old garage.,No one has been to that house recently.,The man discovered suddenly a cloak in the old garage.,suddenly,maze_task
SVadvP_22,FR_Word_order,manner,Harry, swang quickly, his wand, for an old spell.,Enemies were approaching.,Harry swang quickly his wand for an old spell.,quickly,maze_task
SVadvP_23,FR_Word_order,manner,That lady, peeled slowly, a banana, before making coffee.,It was a beautiful morning.,That lady peeled slowly a banana before making coffee.,slowly,maze_task
SVadvP_24,FR_Word_order,manner,John, cleans quietly, the surface, every afternoon.,There is an old car in the yard.,John cleans quietly the surface every afternoon.,quietly,maze_task
SVadvP_25,FR_Word_order,manner,Mary, held carefully, the paper, after finishing talking.,The meeting was already over.,Mary held carefully the paper after finishing talking.,carefully,maze_task
SVadvP_26,FR_Word_order,manner,The manager, shredded suddenly, the script paper, after the speech.,Nobody wanted to say a word.,The manager shredded suddenly the script paper after the speech.,suddenly,maze_task
SVadvP_27,FR_Word_order,manner,Michael, closed quickly, the window, in the corner.,A storm was just on the way.,Michael closed quickly the window in the corner.,quickly,maze_task
SVadvP_28,FR_Word_order,manner,Linda, opened slowly, that book, on the table. ,"Again, it was the reading time.",Linda opened slowly that book on the table.,slowly,maze_task
SVadvP_29,FR_Word_order,manner,The boy, sent quietly, an email, through his phone.,Nobody was listening to the host speaking.,The boy sent quietly an email through his phone.,quietly,maze_task
SVadvP_30,FR_Word_order,manner,The man, removed carefully, the hook, before leaving.,There was not a single fish in the river.,The man removed carefully the hook before leaving.,carefully,maze_task
SVadvP_31,FR_Word_order,manner,The policeman, entered suddenly, the hall, through a window.,Everybody was watching the show.,The policeman entered suddenly the hall through a window.,suddenly,maze_task
SVadvP_32,FR_Word_order,manner,That woman, combed quickly, her hair, before leaving home.,It was 10am on a Monday.,That woman combed quickly her hair before leaving home.,quickly,maze_task
SadvPV_01,EN_Word_order,frequency,John,often watches,television,at home.,Everybody has a hobby.,John often watches television at home.,often,maze_task
SadvPV_02,EN_Word_order,frequency,Mary, always cleans, her backpack, after school.,It is funny to talk about someone's habits.,Mary always cleans her backpack after school.,always,maze_task
SadvPV_03,EN_Word_order,frequency,Tom, sometimes bought, flower seeds, before dinner.,Some people just like to do gardening themselves.,Tom sometimes bought flower seeds before dinner.,sometimes,maze_task
SadvPV_04,EN_Word_order,frequency,Jimmy, usually sells, blue berries, in the garage.,Garage sales are interesting.,Jimmy usually sells blue berries in the garage.,usually,maze_task
SadvPV_05,EN_Word_order,frequency,Kevin, often reads, a storybook, on the plane.,It is boring to spend several hours on a flight.,Kevin often reads a storybook on the plane.,often,maze_task
SadvPV_06,EN_Word_order,frequency,The boy, always catches, big fish, in that river.,There is a river nearby their house.,The boy always catches big fish in that river.,always,maze_task
SadvPV_07,EN_Word_order,frequency,That girl, sometimes heard, loud music, during sleeping.,It is a big house with six bedrooms.,That girl sometimes heard loud music during sleeping.,sometimes,maze_task
SadvPV_08,EN_Word_order,frequency,The dog, usually catches, a frisbee, in the yard.,Nobody knows how big their yard is.,The dog usually catches a frisbee in the yard.,usually,maze_task
SadvPV_09,EN_Word_order,frequency,Lisa, suddenly changed, her path, after hanging up the phone.,There was a storm coming.,Lisa suddenly changed her path after hanging up the phone.,suddenly,maze_task
SadvPV_10,EN_Word_order,frequency,Linda, always cooks, sweet food, for the holidays.,Many people like to cook at home.,Linda always cooks sweet food for the holidays.,always,maze_task
SadvPV_11,EN_Word_order,frequency,The man, sometimes transferred, some money, with a mobile phone.,There are many ways to pay a bill.,The man sometimes transferred some money with a mobile phone.,sometimes,maze_task
SadvPV_12,EN_Word_order,frequency,The girl, usually drops, three coins, for the beggar.,There is always a beggar sitting beside the gate.,The girl usually drops three coins for the beggar.,usually,maze_task
SadvPV_13,EN_Word_order,frequency,That driver, often drinks, some wine, after coming home.,It is exhausting to drive for a whole day.,That driver often drinks some wine after coming home.,often,maze_task
SadvPV_14,EN_Word_order,frequency,The students, always submit, their essays, before deadlines.,There is no difficult assignment for this online course.,The students always submit their essays before deadlines.,always,maze_task
SadvPV_15,EN_Word_order,frequency,The woman, sometimes bought, a sandwich, for lunch.,That store sells great sandwiches.,The woman sometimes bought a sandwich for lunch.,sometimes,maze_task
SadvPV_16,EN_Word_order,frequency,John, usually saves, ten dollars, every day.,Some people like to save money for the future.,John usually saves ten dollars every day.,usually,maze_task
SadvPV_17,EN_Word_order,manner,That lady, quickly washed, her clothes, with her own hands.,There was a power outage going on.,That lady quickly washed her clothes with her own hands.,quickly,maze_task
SadvPV_18,EN_Word_order,manner,Winston, slowly moved, his feet, after seeing the wolf.,It's not easy to run away from a wild animal.,Winston slowly moved his feet after seeing the wolf.,slowly,maze_task
SadvPV_19,EN_Word_order,manner,The man, quietly checked, the door, before he closed it.,Everybody was sleeping.,The man quietly checked the door before he closed it.,quietly,maze_task
SadvPV_20,EN_Word_order,manner,Tracy, carefully shot, the last ball, before the game ended.,This is a fantastic basketball game.,Tracy carefully shot the last ball before the game ended.,carefully,maze_task
SadvPV_21,EN_Word_order,manner,The man, suddenly discovered, a cloak, in the old garage.,No one has been to that house recently.,The man suddenly discovered a cloak in the old garage.,suddenly,maze_task
SadvPV_22,EN_Word_order,manner,Harry, quickly swang, his wand, for an old spell.,Enemies were approaching.,Harry quickly swang his wand for an old spell.,quickly,maze_task
SadvPV_23,EN_Word_order,manner,That lady, slowly peeled, a banana, before making coffee.,It was a beautiful morning.,That lady slowly peeled a banana before making coffee.,slowly,maze_task
SadvPV_24,EN_Word_order,manner,John, quietly cleans, the surface, every afternoon.,There is an old car in the yard.,John quietly cleans the surface every afternoon.,quietly,maze_task
SadvPV_25,EN_Word_order,manner,Mary, carefully held, the paper, after finishing talking.,The meeting was already over.,Mary carefully held the paper after finishing talking.,carefully,maze_task
SadvPV_26,EN_Word_order,manner,The manager, suddenly shredded, the script paper, after the speech.,Nobody wanted to say a word.,The manager suddenly shredded the script paper after the speech.,suddenly,maze_task
SadvPV_27,EN_Word_order,manner,Michael,quickly closed,the window,in the corner.,A storm was just on the way.,Michael quickly closed the window in the corner.,quickly,maze_task
SadvPV_28,EN_Word_order,manner,Linda, slowly opened, that book, on the table. ,"Again, it was the reading time.",Linda slowly opened that book on the table.,slowly,maze_task
SadvPV_29,EN_Word_order,manner,The boy, quietly sent, an email, through his phone.,Nobody was listening to the host speaking.,The boy quietly sent an email through his phone.,quietly,maze_task
SadvPV_30,EN_Word_order,manner,The man, carefully removed, the hook, before leaving.,There was not a single fish in the river.,The man carefully removed the hook before leaving.,carefully,maze_task
SadvPV_31,EN_Word_order,manner,The policeman, suddenly entered, the hall, through a window.,Everybody was watching the show.,The policeman suddenly entered the hall through a window.,suddenly,maze_task
SadvPV_32,EN_Word_order,manner,That woman, quickly combed, her hair, before leaving home.,It was 10am on a Monday.,That woman quickly combed her hair before leaving home.,quickly,maze_task
